一	one	eins
沃 氵➞水 夭✽	irrigate	fruchtbar
立 亠	stand up	stehen
泣 氵➞水 立	cry	weinen
章 音 十	badge	Abzeichen
競 立 兄✽ 立 兄	vie	konkurrieren
帝 亠 冖 巾	sovereign	Imperator
諦 訁➞言 帝✽	renunciation	aufgeben
童 立 里	juvenile	Knirps
瞳 ⽬➞目 童✽	pupil	Pupille
鐘 釒➞金 童✽	bell	Glocke
商 立 冏 章✽	make a deal	Handel treiben
嫡 ⼥➞女 啇✽	legitimate wife	rechtmäßige Ehefrau
適 啇✽ ⻌➞辶	suitable	geeignet
滴 氵➞水 啇✽	drip	tropfen
敵 啇✽ 攵➞攴	enemy	Feind
匕	spoon	Löffel
匂 勹 匕	aroma	Aroma
頃 匕 頁	about that time	um die Zeit
北 匕	north	Norden
背 北✽ 月➞肉	stature	Statur
比 匕✽	compare	vergleichen
昆 日 比	descendants	Nachkomme
皆 比 白	all	alle
楷 ⽊➞木 皆✽	block letters	Blockschrift
諧 訁➞言 皆✽	orderliness	Einklang
混 氵➞水 昆✽	mix	mischen
渇 氵➞水 曷✽ 匂 渴❄	thirst	Durst
謁 訁➞言 曷✽ 謁❄	audience	Audienz
褐 衤➞衣 曷✽ 褐❄	brown	braun
喝 ⼝➞口 曷✽ 喝❄	hoarse	anbrüllen
葛 艹➞艸 曷✽	kudzu	Kudsu
旨 匕 日	delicious	lecker
脂 月➞肉 旨✽	fat	Speck
詣 訁➞言 旨	visit a shrine	einen Schrein besuchen
壱 ⼠➞士 冖 匕 壹❄	I (one)	I. (eins)
毎 𠂉➞屮 毋➞母✽ 每❄	every	jedes Mal
敏 毎✽ 攵➞攴 敏❄	cleverness	gewitzt
梅 ⽊➞木 毎✽ 梅❄	plum	Pflaume
海 氵➞水 毎✽ 海❄	sea	Meer
乞 𠂉 乙	beg	betteln
乾 𠦝 乞 干 倝	drought	Trockenheit
腹 月➞肉 复✽	abdomen	Bauch
複 衤➞衣 复✽	duplicate	mehrfach
欠 缺❄	lack	Mangel
吹 ⼝➞口 欠	blow	blasen
炊 ⽕➞火 欠	cook	kochen
歌 哥✽ 欠	song	Lied
軟 ⾞➞車 欠	soft	weich
次 冫 欠	next	Nächster
茨 艹➞艸 次✽	briar	Dornbusch
資 次✽ 貝	assets	Kapital
姿 次✽ 女	figure	Figur
諮 訁➞言 咨✽	consult with	zu Rate ziehen
賠 ⾙➞貝 咅✽	compensation	Entschädigung
培 ⼟➞土 咅✽	cultivate	kultivieren
剖 咅 刂➞刀	divide	sezieren
音 立 日	sound	Klang
暗 ⽇➞日 音✽	darkness	Dunkelheit
韻 ⾳➞音 員✽	rhyme	Reim
識 訁➞言 戠✽ 職 織	discriminating	urteilsfähig
鏡 釒➞金 竟✽	mirror	Spiegel
境 ⼟➞土 竟✽	boundary	Grenze
亡 亠	deceased	verstorben
盲 亡✽ 目	blind	blind
妄 亡✽ 女	delusion	Wahn
荒 艹➞艸 亡✽ ⼮	laid waste	verwüsten
望 亡✽ 月 王➞玉	ambition	Verlangen
方 亠	direction	Richtung
妨 ⼥➞女 方✽	disturb	hindern
坊 ⼟➞土 方✽	boy	Junge
芳 艹➞艸 方✽	perfumed	wohlriechend
肪 月➞肉 方✽	obese	verfetten
訪 訁➞言 方✽	call on	besuchen
放 ⽅✽➞方 攵➞攴	set free	freilassen
激 氵➞水 敫✽	violent	heftig
脱 月➞肉 兌✽	undress	sich ausziehen
説 訁➞言 兌✽	explanation	Auslegung
鋭 釒➞金 兌✽	pointed	spitz
曽 丷➞八 田 日 曾❄	formerly	zuvor
増 ⼟➞土 曽✽ 增❄	increase	zunehmen
贈 ⾙➞貝 曽✽ 贈❄	presents	schenken
東 木 日	east	Osten
棟 ⽊➞木 東✽	ridgepole	Firstbalken
凍 冫 東✽	frozen	gefroren
錬 釒➞金 東✽ 鍊❄	tempering	härten
妊 ⼥➞女 壬✽	pregnancy	Empfängnis
廷 壬✽ 廴	courts	Gerichtshof
染 氵➞水 九 木	dye	färben
燃 ⽕➞火 然✽	burn	brennen
賓 宀 少 貝 賓❄	V.I.P.	Ehrengast
歳 止 戌➞戍 小	year-end	Jahresende
県 目 小 縣❄	prefecture	Präfektur
栃 ⽊➞木 厂 万	horse chestnut	Rosskastanie
地 ⼟➞土 也✽	ground	Grund
池 氵➞水 也✽	pond	Teich
虫 中 蟲❄	insect	Insekt
蛍 ⺍ 冖 虫 螢❄	lightning bug	Glühwürmchen
蛇 ⾍➞虫 它	snake	Schlange
虹 ⾍➞虫 工✽	rainbow	Regenbogen
蝶 ⾍➞虫 世 木 枼	butterfly	Schmetterling
独 ⺨➞犬 虫 獨❄	single	allein
蚕 天✽ 虫 蠶❄	silkworm	Seidenraupe
風 凡✽ 虫	wind	Wind
巳 已 己	sign of the snake	Zeichen der Schlange
己	self	sich
起 ⾛➞走 己✽	rouse	aufwachen
妃 ⼥➞女 己	queen	Königin
記 訁➞言 己✽	scribe	notieren
改 己✽ 攵➞攴	reformation	reformieren
包 勹 己	wrap	einwickeln
胞 月➞肉 包✽	placenta	Plazenta
砲 ⽯➞石 包✽	cannon	Kanone
泡 氵➞水 包✽	bubble	Schaum
亀 𠂊➞勹 日 日 龜❄	tortoise	Schildkröte
竜 龍❄	dragon	Drache
滝 氵➞水 竜✽ 瀧❄	waterfall	Wasserfall
襲 龍✽ 衣	attack	überfallen
豚 月➞肉 豕	pork	Schwein
逐 豕 ⻌➞辶	pursue	vertreiben
遂 㒸✽ ⻌➞辶	consummate	durchführen
家 宀 豕	house	Haus
嫁 ⼥➞女 家✽	marry into	einheiraten
豪 高✽ 冖 豕	overpowering	grandios
腸 月➞肉 昜✽	intestines	Gedärme
場 ⼟➞土 昜✽	location	Ort
湯 氵➞水 昜✽	hot water	Heißwasser
丑 一 醜❄	sign of the cow	Zeichen des Ochsen
羊	sheep	Schaf
美 羊 大	beauty	Schönheit
洋 氵➞水 羊✽	ocean	Ozean
詳 訁➞言 羊✽	detailed	detailliert
鮮 ⿂➞魚 羊	fresh	frisch
達 土 羊 羍✽ ⻌➞辶	accomplished	erlangen
羨 羊 氵➞水 欠	envious	neidisch
差 羊 丿 工	distinction	Unterschied
着 羊 丿 目 者✽ 著❄	don	anziehen
羞 羊 丿 丑✽	humiliate	beschämen
唯 ⼝➞口 隹✽	solely	bloß
堆 ⼟➞土 隹	piled high	aufgetürmt
椎 ⽊➞木 隹	sweet oak	Scheinkastanie
誰 訁➞言 隹	who	wer
焦 隹 灬➞火	char	versengen
礁 ⽯➞石 焦✽	reef	Riff
集 隹 木	gather	sammeln
准 冫 隹 準✽	quasi-	quasi-
準 淮 十 隼✽	semi-	Semi-
進 隹 ⻌➞辶	advance	Fortschritt
雑 九 木 隹 雜❄	miscellaneous	divers
雌 此✽ 隹	female	weiblich
奮 奞 田	stirred up	angeregt
奪 奞 寸	rob	rauben
