一	one	eins
彫 周✽ 彡	carve	bildhauern
形 开➞幵✽ 彡	shape	Form
影 景✽ 彡	shadow	Schatten
杉 ⽊➞木 彡✽	cedar	Zeder
彩 采✽ 彡	coloring	kolorieren
彰 章✽ 彡	patent	deutlich
彦 立 彡 彥❄	lad	Knabe
顔 彦✽ 頁	face	Gesicht
須 彡 頁	ought	müssen
膨 月➞肉 彭✽	swell	schwellen
参 厶 大 彡✽ 參❄	visit	aufsuchen
惨 忄➞心 参✽ 慘❄	wretched	elend
修 攸✽ 彡	discipline	sich beherrschen
珍 玉➞王 㐱✽ 𠆢➞人 彡	rare	selten
診 訁➞言 㐱✽ 𠆢➞人 彡	checkup	Diagnose
文 亠 乂	sentence	Text
対 文 寸 對❄	vis-a-vis	gegen
紋 糹➞糸 文✽	family crest	Familienwappen
蚊 ⾍➞虫 文✽	mosquito	Mücke
斑 ⺩➞玉 文 王➞玉	speckled	gesprenkelt
斉 文 二 齊❄	adjusted	gleichmäßig
剤 斉✽➞齊 刂➞刀 劑❄	dose	Mittel
済 氵➞水 斉✽➞齊 濟❄	finish	beenden
斎 斉✽➞齊 示 齋❄	purification	rituelle Reinigung
粛 聿 米 肅❄	solemn	feierlich
楽 白 冫 木 樂❄	music	Musik
薬 艹➞艸 楽✽ 藥❄	medicine	Arznei
率 玄 冫 十 卒✽	ratio	Rate
塁 田 冫 土 壘❄	bases	Baseball-Mal
渋 氵➞水 止 冫 澁❄	astringent	herb
摂 扌➞手 耳 冫 攝❄	vicarious	in sich aufnehmen
央 冂 大  中	center	Zentrum
英 艹➞艸 央✽	England	England
映 ⽇➞日 央✽	reflect	reflektieren
赤 土 亦	red	rot
赦 ⾚✽➞赤 攵➞攴	pardon	vergeben
嚇 ⼝➞口 赫✽	upbraid	abschrecken
跡 ⻊➞足 亦✽	tracks	Spuren
変 亦➞䜌✽ 夂 變❄	unusual	anders
恋 亦➞䜌✽ 心 戀❄	romance	Liebschaft
蛮 亦➞䜌✽ 虫 蠻❄	barbarian	Barbar
湾 氵➞水 弯✽➞彎 灣❄	gulf	Meerbusen
黄 黃❄	yellow	gelb
横 ⽊➞木 黄✽ 橫❄	sideways	waagerecht
把 扌➞手 巴✽	grasp	fassen
色 𠂊➞勹 巴	color	Farbton
絶 糹➞糸 色	discontinue	unterbrechen
艶 豊 色 艷❄	glossy	glänzend
肥 月➞肉 巴✽	fertilizer	Dünger
甘 廿	sweet	süß
紺 糹➞糸 甘✽	navy blue	dunkelblau
某 甘 木	so-and-so	soundso
謀 訁➞言 某✽	conspire	Intrige
媒 ⼥➞女 某✽	mediator	Vermittler
期 其✽ 月	period	Periode
欺 其✽ 欠	deceit	Betrug
棋 ⽊➞木 其✽	chess piece	Shogi
旗 ⽅➞方 𠂉 其✽	national flag	Flagge
基 其✽ 土	fundamentals	Fundament
碁 其✽ 石	Go	Go
甚 甘 匹	tremendously	ungemein
勘 甚✽ 力	intuition	Intuition
堪 ⼟➞土 甚✽	withstand	aushalten
貴 中 一 貝	precious	wertvoll
潰 氵➞水 貴✽	defile	zu Schrott verarbeiten
遺 貴✽ ⻌➞辶	bequeath	hinterlassen
遣 中 一 㠯 ⻌➞辶	dispatch	schicken
無 丿 一 灬➞火	nothingness	Nichts
舞 無 舛✽	dance	Reigen
且 几 一	moreover	überdies
助 且✽ 力	help	helfen
組 糹➞糸 且✽	association	Zusammensetzung
粗 ⽶➞米 且✽	coarse	rauh
租 ⽲➞禾 且✽	tariff	Zehnt
狙 ⺨➞犬 且	aim at	zielen
祖 礻➞示 且✽ 祖❄	ancestor	Vorfahre
阻 ⻖➞阜 且✽	thwart	vereiteln
査 木 且✽	investigate	untersuchen
宜 宀 且	best regards	schöne Grüße
畳 田 冖 且 疊❄	tatami mat	Tatami-Matten
並 䒑 业 竝❄	row	Reihe
普 並 日	universal	universal
譜 訁➞言 普✽	musical score	Noten
湿 氵➞水 日 业 濕❄	damp	feucht
顕 业 日 頁 顯❄	appear	offenkundig
繊 糹➞糸 土 並 戈 纖❄	slender	dünn
霊 霝✽ 巫 靈❄	spirits	geistlich
業 丵 木 未	profession	Beruf
撲 扌➞手 菐✽	slap	hauen
僕 亻➞人 菐✽	me	meiner einer
共 廿 八	together	zusammen
供 亻➞人 共✽	submit	darbringen
異 田➞囟 共	uncommon	ungewöhnlich
翼 羽 異✽	wing	Flügel
戴 𢦏✽ 土 ⼽➞戈 異	accept humbly	demütig entgegennehmen
洪 氵➞水 共✽	deluge	Überschwemmung
港 氵➞水 巷✽	harbor	Hafen
暴 日 共 氺➞水	outburst	toben
爆 ⽕➞火 暴✽	bomb	explodieren
恭 共✽ ⺗➞心	respect	respektvoll
選 巽✽ ⻌➞辶	elect	Auslese
殿 尸 共 殳	Mr.	Hr.
井 二 廾	well	Brunnen
丼 井 丶	donburi	Donburi
囲 囗 井➞韋✽ 圍❄	surround	umringen
亜 二 口 亞❄	Asia	Asien
悪 亜✽➞亞 心 惡❄	bad	schlecht
円 冂 圓❄	circle	Kreis
角 𠂊➞勹	angle	Winkel
触 ⾓➞角 虫 蜀✽ 觸❄	contact	Kontakt
解 ⾓➞角 刀 牛	unravel	entwirren
再 一 冉 冓	again	wieder
構 ⽊➞木 冓✽	posture	Haltung
講 訁➞言 冓✽	lecture	Vorlesung
購 ⾙➞貝 冓✽	subscription	abonnieren
溝 氵➞水 冓✽	gutter	Rinnstein
論 訁➞言 侖✽	argument	Argument
倫 亻➞人 侖✽	ethics	Ethik
輪 ⾞➞車 侖✽	wheel	Rad
偏 亻➞人 扁✽	partial	parteiisch
編 糹➞糸 扁✽	compilation	Zusammenstellung
遍 扁✽ ⻌➞辶	everywhere	überall
冊 冂 廾	tome	Buchband
柵 ⽊➞木 冊✽	palisade	Palisade
典 曲 八	code	Kodex
氏	family name	Familienname
紙 糹➞糸 氏✽	paper	Papier
婚 ⼥➞女 昏✽	marriage	Heirat
低 亻➞人 氐✽	lower	niedrig
抵 扌➞手 氐✽	resist	widerstehen
底 广 氐✽	bottom	Boden
民 氏	people	Volk
眠 ⽬➞目 民✽	sleep	schlafen
捕 扌➞手 甫✽	catch	fangen
哺 ⼝➞口 甫✽	suckle	säugen
浦 氵➞水 甫✽	bay	Bucht
蒲 艹➞艸 浦✽	bullrush	Rohrkolben
舗 舎 甫✽ 舖❄	shop	Geschäft
補 衤➞衣 甫✽	supplement	ergänzen
邸 氐✽ ⻏➞邑	residence	Residenz
郭 享✽ ⻏➞邑	enclosure	Stadtviertel
郡 君✽ ⻏➞邑	county	Landkreis
郊 交✽ ⻏➞邑	outskirts	Stadtrand
部 咅 ⻏➞邑	section	Abteilung
都 者 ⻏➞邑 都❄	metropolis	Metropole
郵 垂 ⻏➞邑✽	mail	Post
邦 丰✽ ⻏➞邑	home country	Vaterland
那 刀 二 ⻏➞邑	interrogative	Frage-(partikel)
郎 良✽ ⻏➞邑 郞❄	son	Sohn
郷 幺 艮 ⻏➞邑 鄕❄	hometown	Heimatort
響 郷✽ 音 響❄	echo	hallen
廊 广 郎✽ 廊❄	corridor	Korridor
盾 厂 十 目	shield	Schild
循 彳 盾✽	sequential	Kreislauf
派 氵➞水 𠂢✽	faction	Fraktion
脈 月➞肉 𠂢✽	vein	Ader
衆 血 亻➞人	masses	Massen
逓 乕✽ ⻌➞辶 遞❄	parcel post	Kurierdienst
段 殳	grade	Stufe
鍛 釒➞金 段✽	forge	schmieden
后 厂 口	empress	Kaiserin
幻 幺 𠃌	phantasm	Trugbild
司 𠃌 一 口	director	Direktor
伺 亻➞人 司✽	pay respects	Höflichkeitsbesuch
詞 訁➞言 司✽	parts of speech	Wortart
飼 飠➞食 司✽	domesticate	Tierhaltung
嗣 口 冊 司✽	heir	Erbe
丹 冂 丶	cinnabar	Zinnober
舟	boat	Boot
船 ⾈➞舟 㕣✽	ship	Schiff
舶 ⾈➞舟 白✽	liner	Frachter
航 ⾈➞舟 亢✽	navigate	Seefahrt
舷 ⾈➞舟 玄✽	gunwale	Dollbord
艦 ⾈➞舟 監✽	warship	Kriegsschiff
艇 ⾈➞舟 廷✽	rowboat	Kahn
般 ⾈➞舟 殳	carrier	allgemein
盤 般✽ 皿	tray	Platte
搬 扌➞手 般✽	conveyor	befördern
瓜 丿 厶	melon	Melone
弧 弓 瓜✽	arc	Kreisbogen
孤 ⼦➞子 瓜✽	orphan	Waise
繭 艹➞艸 冂 糸 虫	cocoon	Kokon
益 䒑 八 皿	benefit	Gewinn
暇 ⽇➞日 叚✽	spare time	Freizeit
霞 ⻗➞雨 叚✽	haze	Nebel
敷 旉✽ 攵➞攴	spread	ausbreiten
来 一 米 來❄	come	kommen
気 气✽ 乂 氣❄	spirit	Geist
汽 氵➞水 气✽	vapor	Dampf
飛 升	fly	fliegen
沈 氵➞水 冘✽	sink	sinken
枕 ⽊➞木 冘✽	pillow	Kopfkissen
衰 衣 口 一	decline	verfallen
衷 衣 口 丨	inmost	innig
面	mask	Maske
麺 麦➞麥 面✽ 麵❄	noodles	Nudeln
革 廿 口	leather	Leder
靴 革 化✽	shoes	Schuhe
覇 覀➞雨 革✽ 月 霸❄	hegemony	Vorherrschaft
声 ⼠➞士 𠃜 聲❄	voice	Stimme
眉 𠃜 目	eyebrow	Augenbraue
呉 口 八	give	geben
娯 ⼥➞女 呉✽	recreation	Erholung
誤 訁➞言 呉✽	mistake	Fehler
承 了 三 水	acquiesce	hinnehmen
蒸 艹➞艸 烝✽	steam	Dunst
函 一 氺 凵 凾❄	bin	Kasten
極 ⽊➞木 亟✽	poles	Pol
牙 一 亅 丿	tusk	Stoßzahn
芽 艹➞艸 牙✽	bud	Knospe
邪 ⽛➞牙✽ ⻏➞邑	wicked	böse
雅 ⽛➞牙✽ 隹	gracious	elegant
釈 ⾤➞釆 尺✽ 釋❄	interpretation	Erklärung
番 釆 田	turn	dran
審 宀 番	hearing	Vernehmung
翻 番✽ 羽 飜❄	flip	wenden
藩 艹➞艸 潘✽	clan	Clan
宅 宀 乇✽	home	Heim
託 訁➞言 乇✽	consign	anvertrauen
毛	fur	Fell
尾 ⼫➞尸 毛	tail	Schwanz
耗 ⽾➞耒 毛✽	decrease	verschleißen
耕 ⽾➞耒 井✽	till	das Feld bestellen
籍 ⺮➞竹 耤✽ 耒 昔	enroll	registriert
為 丶 勹 灬➞火 爲❄	do	tun
偽 亻➞人 為✽ 僞❄	falsehood	Falschheit
畏 田 一	apprehensive	scheu
長	long	lang
張 弓 長✽	lengthen	spannen
帳 ⼱➞巾 長✽	notebook	Notizbuch
髪 髟 友✽ 髮❄	hair of the head	Haupthaar
展 ⼫➞尸 廾 衣	unfold	entfalten
喪 十 口 口 衣	miss	vermissen
巣 ⺍ 果 巢❄	nest	Nest
単 ⺍ 甲 一 單❄	simple	einzeln
戦 単✽ 戈 戰❄	war	Krieg
禅 礻➞示 単✽ 禪❄	Zen	Zen
弾 弓 単✽ 彈❄	bullet	Gewehrkugel
桜 ⽊➞木 ⺍ 女 櫻❄	cherry tree	Kirschbaum
獣 ⺍ 嘼 犬 獸❄	animal	Tier
脳 月➞肉 ⺍ 凶 腦❄	brain	Gehirn
悩 忄➞心 ⺍ 凶 惱❄	trouble	plagen
厳 ⺍ 厂 敢✽ 嚴❄	stern	streng
挙 ⺍➞舁✽ 手 擧❄	raise	heben
誉 ⺍➞舁✽ 言 譽❄	reputation	Ruhm
猟 ⺨➞犬 鼡✽➞鼠 獵❄	game hunting	Waid
鎖 釒➞金 ⺌➞小 貝 鏁❄	chain	Kette
鳥 灬➞火	bird	Vogel
烏 鳥	crow	Krähe
鳴 ⼝➞口 鳥	chirp	zwitschern
鳩 九 鳥	pigeon	Taube
鶴 隺✽ 鳥 寉	crane	Kranich
鶏 奚✽ 鳥 鷄❄	chicken	Huhn
蔦 艹➞艸 鳥	vine	Efeu
島 鳥✽ 山 嶋 嶌	island	Insel
暖 ⽇➞日 爰✽	warmth	Wärme
媛 ⼥➞女 爰	beautiful woman	Maid
援 扌➞手 爰✽	abet	unterstützen
緩 糹➞糸 爰✽	slacken	lockern
属 ⼫➞尸 禹 蜀✽ 屬❄	belong	zugehörig
嘱 ⼝➞口 属✽ 囑❄	entrust	beauftragen
偶 亻➞人 禺✽	accidentally	zufällig
遇 禺✽ ⻌➞辶	interview	begegnen
愚 禺✽ 心	foolish	albern
隅 ⻖➞阜 禺✽	corner	Ecke
逆 屰✽ 䒑 屮 ⻌➞辶	inverted	umgekehrt
塑 朔✽ 土	model	modellieren
遡 朔✽ ⻌➞辶	go upstream	stromaufwärts ziehen
岡 冂 䒑 山	Mount	Anhöhe
鋼 釒➞金 岡✽	steel	Stahl
綱 糹➞糸 岡✽	hawser	Tau
剛 岡✽ 刂➞刀	sturdy	unbeugsam
缶 罐❄	tin can	Blechdose
陶 ⻖➞阜 勹 缶	pottery	Töpferwaren
揺 扌➞手 䍃✽ 搖❄	swing	schaukeln
謡 訁➞言 䍃✽ 謠❄	Noh chanting	Noh-Gesang
鬱 木 缶 鬯 彡	gloom	Schwermut
就 京 尤 尢	concerning	bezüglich
蹴 ⻊➞足 就	kick	kicken
懇 豤✽ 豸 艮 心	sociable	freundlich
墾 豤✽ 豸 艮 土	groundbreaking	Landgewinnung
貌 豸 皃✽	countenance	Antlitz
免 𠂊➞勹 儿➞八 免❄	excuse	Befreiung
晩 ⽇➞日 免✽ 晚❄	nightfall	Abenddämmerung
逸 免➞兔✽ ⻌➞辶 逸❄	elude	abschweifen
勉 免✽ 力 勉❄	exertion	Fleiß
象 𠂊➞勹 豕	elephant	Elefant
像 亻➞人 象✽	statue	Statue
馬 灬➞火	horse	Pferd
駄 ⾺➞馬 太✽	burdensome	Lastpferd
駒 ⾺➞馬 句	pony	Pony
騎 ⾺➞馬 奇✽	equestrian	Reiter
駅 ⾺➞馬 尺➞睪✽ 驛❄	station	Bahnhof
駐 ⾺➞馬 主✽	parking	parken
駆 ⾺➞馬 区✽ 驅❄	drive	antreiben
験 ⾺➞馬 僉✽ 驗❄	verification	prüfen
騒 ⾺➞馬 蚤✽ 騷❄	boisterous	lärmen
驚 敬✽ 馬	wonder	Erstaunen
篤 ⺮➞竹✽ 馬	fervent	ernsthaft
罵 罒➞网 馬	insult	Beleidigung
騰 月➞舟 龹 馬 朕✽	inflation	Anstieg
謄 月➞舟 龹 言 朕✽	facsimilie	Abschrift
勝 月➞舟 劵 朕✽	victory	Sieg
藤 艹➞艸 滕✽ 朕✽	wisteria	Glyzinie
虎 虍✽ 儿➞八	tiger	Tiger
虜 虍✽ 男 虜❄	captive	Gefangener
膚 虍 胃	skin	Haut
虚 虍✽ 业 虛❄	void	inhaltslos
嘘 ⼝➞口 虚✽	fib	schwindeln
戯 虚✽ 戈 戲❄	frolic	spaßen
虞 虍 呉✽	uneasiness	Angst
慮 虍✽ 思	prudence	Besonnenheit
劇 虍 豕 刂➞刀	drama	Drama
虐 虍 爪	tyrannize	quälen
鹿 广 比	deer	Reh
麗 丽 鹿	lovely	hübsch
麓 林 鹿✽	foot of a mountain	Fuß eines Berges
薦 艹➞艸 廌	recommend	empfehlen
慶 鹿 心 夂	jubilation	jauchzen
能 厶 月➞肉 匕 匕	ability	Fähigkeit
熊 能 灬➞火	bear	Bär
態 能✽ 心	attitude	Einstellung
罷 罒➞网 能	quit	aufhören
寅 宀 由 八	sign of the tiger	Zeichen des Tigers
演 氵➞水 寅✽	performance	aufführen
辰 厂 衣	sign of the dragon	Zeichen des Drachen
唇 辰✽ 口	lips	Lippe
辱 辰 寸	embarrass	entehren
震 ⻗➞雨 辰✽	quake	beben
振 扌➞手 辰✽	shake	schütteln
娠 ⼥➞女 辰✽	with child	Schwangerschaft
農 曲➞囟 辰	agriculture	Landwirtschaft
濃 氵➞水 農✽	concentrated	konzentriert
鬼 丿 田 儿 厶	ghost	Gespenst
塊 ⼟➞土 鬼✽	clod	Klumpen
醜 ⾣✽➞酉 鬼	ugly	hässlich
魂 云✽ 鬼	soul	Seele
魔 ⿇✽➞麻 鬼	witch	Dämon
魅 ⿁➞鬼 未✽	fascination	Faszination
璽 爾✽ 玉	imperial seal	kaiserliches Siegel
